Company,Date,Close/Last,Volume,Open,High,Low
tesla,01/29/2025,$389.10,68033650,$395.21,$398.5899,$384.48
tesla,01/28/2025,$398.09,48910680,$396.91,$400.59,$386.50
tesla,01/27/2025,$397.15,58125510,$394.80,$406.69,$389.00
tesla,01/24/2025,$406.58,56427150,$414.45,$418.88,$405.78
tesla,01/23/2025,$412.38,50690590,$416.06,$420.73,$408.95
tesla,01/22/2025,$415.11,60963340,$416.81,$428.00,$414.59
tesla,01/21/2025,$424.07,87320890,$432.64,$433.20,$406.31
tesla,01/17/2025,$426.50,94991430,$421.50,$439.74,$419.75
tesla,01/16/2025,$413.82,68335150,$423.49,$424.00,$409.13
tesla,01/15/2025,$428.22,81375460,$409.90,$429.80,$405.661
tesla,01/14/2025,$396.36,84565020,$414.34,$422.64,$394.54
tesla,01/13/2025,$403.31,67580490,$383.21,$403.79,$380.07
tesla,01/10/2025,$394.74,62287330,$391.40,$399.28,$377.29
tesla,01/08/2025,$394.94,73038810,$392.95,$402.4999,$387.40
tesla,01/07/2025,$394.36,75699530,$405.83,$414.33,$390.00
tesla,01/06/2025,$411.05,85516530,$423.20,$426.43,$401.70
tesla,01/03/2025,$410.44,95423330,$381.48,$411.8799,$379.45
tesla,01/02/2025,$379.28,109710700,$390.10,$392.7299,$373.04
tesla,12/31/2024,$403.84,76825120,$423.79,$427.93,$402.54
tesla,12/30/2024,$417.41,64941010,$419.40,$427.00,$415.75
tesla,12/27/2024,$431.66,82666820,$449.52,$450.00,$426.50
tesla,12/26/2024,$454.13,76651210,$465.16,$465.3299,$451.02
tesla,12/24/2024,$462.28,59551750,$435.90,$462.78,$435.14
tesla,12/23/2024,$430.60,72698060,$431.00,$434.51,$415.4112
tesla,12/20/2024,$421.06,132216200,$425.505,$447.08,$417.64
tesla,12/19/2024,$436.17,118566100,$451.88,$456.36,$420.02
tesla,12/18/2024,$440.13,149340800,$466.495,$488.5399,$427.01
tesla,12/17/2024,$479.86,131223000,$475.90,$483.99,$457.5101
tesla,12/16/2024,$463.02,114083800,$441.09,$463.19,$436.15
tesla,12/13/2024,$436.23,89000160,$420.00,$436.30,$415.71
tesla,12/12/2024,$418.10,87752230,$424.84,$429.30,$415.00
tesla,12/11/2024,$424.77,104287600,$409.70,$424.88,$402.38
tesla,12/10/2024,$400.99,97563580,$392.68,$409.73,$390.85
tesla,12/09/2024,$389.79,96359170,$397.61,$404.80,$378.01
tesla,12/06/2024,$389.22,81455830,$377.42,$389.49,$370.80
tesla,12/05/2024,$369.49,81403570,$359.87,$375.43,$359.50
tesla,12/04/2024,$357.93,50810870,$353.00,$358.10,$348.60
